Median_of_median_time,Quick_sort_time,
0.984085,0.131081,
1.79512,0.130124,
1.03542,0.129705,
1.10983,0.128578,
0.866209,0.13457,
1.17921,0.131041,
1.12852,0.12959,
1.49798,0.129725,
1.48025,0.128879,
0.965812,0.129899,
2.13116,0.127816,
1.06979,0.128924,
1.46086,0.12993,
1.51861,0.12912,
1.6808,0.129596,
1.81381,0.12932,
1.26506,0.128466,
1.40657,0.128804,
1.54884,0.127882,
1.49547,0.127196,
1.69122,0.128668,
1.11404,0.127764,
1.45294,0.13518,
0.869112,0.129336,
1.50511,0.129268,
1.08433,0.130268,
1.2236,0.130752,
2.1175,0.128092,
1.36627,0.12996,
1.60561,0.1291,
1.16487,0.133884,
1.08283,0.128876,
1.19729,0.135108,
1.2363,0.128924,
1.0282,0.130076,
1.25729,0.129884,
1.25428,0.130396,
1.24485,0.130012,
1.08786,0.13076,
1.42126,0.128976,
2.09923,0.130056,
0.889916,0.128764,
1.00518,0.1292,
2.80787,0.134168,
1.45838,0.129992,
1.02566,0.130168,
0.978984,0.128736,
2.53027,0.12896,
0.999264,0.128872,
1.42396,0.133448,
1.53366,0.127968,
1.54807,0.129424,
0.947568,0.129288,
1.22261,0.130104,
1.27373,0.128744,
1.23466,0.129224,
0.736048,0.129688,
1.46827,0.129032,
1.18959,0.130208,
1.3523,0.128944,
1.9272,0.129192,
1.17742,0.129568,
1.33587,0.130248,
1.01039,0.12908,
1.19708,0.12964,
1.43174,0.135504,
1.10598,0.12852,
1.94619,0.130368,
1.42355,0.129496,
3.13666,0.129952,
1.29172,0.135184,
1.6671,0.12908,
1.47138,0.12908,
1.07344,0.128872,
1.11591,0.13048,
1.36512,0.13036,
1.45994,0.131712,
1.027,0.129424,
1.05468,0.129488,
0.684256,0.129856,
0.901216,0.12988,
1.36447,0.129408,
0.78192,0.130152,
1.64254,0.130328,
1.37762,0.130504,
0.699384,0.12996,
1.24251,0.129192,
1.85014,0.129472,
2.01686,0.12976,
0.968496,0.135408,
1.56722,0.129952,
1.30918,0.129216,
0.711664,0.128432,
1.70779,0.127248,
1.14622,0.129376,
1.11134,0.129856,
1.88432,0.1348,
1.12538,0.129728,
1.11731,0.130096,
1.09787,0.128912,
1.2549,0.12976,
0.972048,0.128704,
1.95078,0.135824,
1.65781,0.132736,
1.2045,0.13,
0.944464,0.130064,
1.44389,0.135248,
1.39114,0.129904,
1.54712,0.129712,
0.64568,0.130096,
1.27907,0.130816,
1.55114,0.131712,
1.56384,0.132096,
1.26979,0.130592,
1.59011,0.13048,
0.85256,0.136896,
1.77818,0.131568,
1.11307,0.129872,
1.08309,0.130368,
1.03053,0.129744,
0.751696,0.130272,
1.79232,0.128064,
1.79346,0.12968,
1.60714,0.128688,
0.989776,0.127328,
0.976496,0.129488,
0.599856,0.130432,
0.867888,0.135584,
1.81109,0.127712,
1.50277,0.12984,
0.879104,0.127712,
0.943232,0.129648,
0.881744,0.12832,
0.74312,0.129488,
1.8707,0.130256,
1.59312,0.130192,
1.88702,0.129168,
1.74458,0.130656,
1.24712,0.130192,
1.16272,0.129712,
0.862368,0.130288,
1.12387,0.12928,
1.15486,0.134576,
0.972096,0.129568,
1.12208,0.135104,
1.34269,0.128816,
1.36632,0.128832,
1.23171,0.12968,
1.72294,0.128688,
1.31506,0.128592,
0.806304,0.129536,
1.12718,0.128224,
1.51491,0.1304,
1.20048,0.128272,
0.952688,0.13544,
1.09214,0.1288,
1.41086,0.128096,
1.27058,0.129616,
1.26978,0.128592,
1.30242,0.12896,
1.984,0.130832,
1.50418,0.130912,
1.2871,0.128928,
1.05891,0.128288,
1.09214,0.130304,
0.806656,0.130272,
1.0093,0.129696,
0.714256,0.128384,
1.35898,0.130368,
1.17842,0.130336,
1.22314,0.129808,
0.932384,0.130144,
1.23661,0.129952,
1.55504,0.1292,
0.988992,0.133728,
1.28558,0.13072,
0.843136,0.129056,
1.24925,0.129744,
1.22256,0.129664,
1.19643,0.129248,
0.872096,0.129936,
0.923952,0.129984,
1.39082,0.128512,
0.998,0.129792,
1.13056,0.129872,
1.76058,0.13032,
1.42776,0.129312,
0.973024,0.130048,
1.38224,0.130336,
0.92016,0.129568,
1.07162,0.12976,
0.644864,0.128032,
1.24621,0.130592,
1.9345,0.129056,
1.13693,0.129056,
2.78147,0.129088,
0.810496,0.12944,
1.45667,0.129248,
0.66832,0.128832,
1.09302,0.12912,
1.26541,0.13008,
1.15571,0.130496,
1.3871,0.129568,
1.63344,0.128032,
0.981088,0.130048,
1.148,0.129824,
0.99696,0.130048,
1.18822,0.129152,
0.797344,0.130688,
1.07584,0.129312,
1.1127,0.135552,
1.5999,0.130112,
1.19366,0.135136,
0.78608,0.12832,
0.80224,0.128448,
1.18666,0.131264,
0.848992,0.128352,
1.58742,0.129952,
0.954784,0.130496,
1.6273,0.128256,
0.653664,0.130176,
0.936896,0.12976,
0.875776,0.134304,
1.30438,0.129664,
0.664032,0.127808,
0.719776,0.128864,
1.07638,0.127456,
1.32125,0.129952,
0.884992,0.13056,
0.739776,0.128704,
0.933088,0.130176,
1.24394,0.128384,
0.657696,0.134336,
1.75261,0.130368,
1.75021,0.128576,
0.703168,0.129952,
0.773344,0.1312,
0.864064,0.12992,
1.13978,0.1352,
1.08656,0.130144,
1.06179,0.129472,
1.39395,0.12912,
0.952096,0.128576,
1.35222,0.135072,
1.27162,0.129728,
1.13606,0.129728,
1.75014,0.129984,
1.11245,0.129152,
0.821312,0.1288,
1.12269,0.129536,
1.10752,0.133888,
1.47181,0.127904,
1.51229,0.134176,
1.43309,0.128704,
1.37302,0.129056,
1.09558,0.127904,
1.00026,0.129792,
0.859296,0.128832,
1.63306,0.129728,
1.44246,0.12896,
1.06138,0.129152,
0.775872,0.135264,
1.03434,0.127776,
1.93069,0.130144,
1.69302,0.130592,
1.74093,0.130208,
1.30474,0.128864,
1.15363,0.129632,
1.34944,0.130752,
1.5855,0.129536,
0.786272,0.12976,
1.33846,0.13184,
1.56179,0.12896,
0.922368,0.129568,
1.07411,0.128512,
1.20042,0.129664,
