Median_of_median_time,Quick_sort_time,
0.372412,0.028836,
0.356098,0.028905,
0.262879,0.028655,
0.273712,0.02862,
0.457432,0.028694,
0.379952,0.028875,
0.294433,0.028574,
0.297594,0.028623,
0.257316,0.028891,
0.360243,0.029027,
0.211608,0.029151,
0.45368,0.028754,
0.336027,0.028915,
0.397687,0.028715,
0.249855,0.028968,
0.320522,0.028907,
0.221432,0.029054,
0.304811,0.02884,
0.248558,0.029364,
0.357398,0.029033,
0.276036,0.028768,
0.195874,0.028659,
0.317865,0.029112,
0.407037,0.028581,
0.439393,0.028709,
0.347717,0.029376,
0.374259,0.028628,
0.340194,0.028846,
0.219073,0.028695,
0.281719,0.028554,
0.261261,0.028873,
0.436758,0.02853,
0.34726,0.028684,
0.407335,0.028894,
0.43313,0.028651,
0.404081,0.028598,
0.250911,0.028537,
0.39815,0.028572,
0.212883,0.029394,
0.384981,0.028922,
0.474498,0.029042,
0.403036,0.028957,
0.226238,0.029112,
0.253005,0.028727,
0.418825,0.028918,
0.230637,0.028814,
0.20336,0.029164,
0.240332,0.028546,
0.18968,0.028552,
0.343502,0.028814,
0.379516,0.029004,
0.284582,0.0288,
0.320728,0.028816,
0.531482,0.028954,
0.232908,0.028556,
0.381568,0.028716,
0.21622,0.02872,
0.394438,0.028536,
0.402484,0.028646,
0.323518,0.028858,
0.362022,0.028696,
0.37017,0.028848,
0.226646,0.02902,
0.279958,0.028948,
0.281974,0.028522,
0.390528,0.028604,
0.276134,0.028808,
0.319042,0.02883,
0.310728,0.028538,
0.314348,0.029196,
0.365058,0.028644,
0.454048,0.028476,
0.284754,0.028504,
0.357888,0.02852,
0.283692,0.028518,
0.545874,0.028552,
0.273504,0.028836,
0.483726,0.02928,
0.16768,0.029002,
0.344184,0.028628,
0.261426,0.028536,
0.25303,0.028678,
0.424042,0.028748,
0.286772,0.028748,
0.36567,0.028558,
0.252618,0.02859,
0.25889,0.028648,
0.314252,0.02894,
0.326238,0.028836,
0.366848,0.029314,
0.257384,0.02884,
0.298064,0.02921,
0.453616,0.028696,
0.324228,0.0288,
0.399968,0.029412,
0.382904,0.028592,
0.271976,0.029108,
0.423852,0.028536,
0.323492,0.02858,
0.254056,0.029524,
0.328144,0.028548,
0.324332,0.029184,
0.246388,0.028748,
0.413728,0.029044,
0.205968,0.028528,
0.24996,0.028544,
0.257792,0.028548,
0.338676,0.028552,
0.53666,0.02876,
0.489216,0.028924,
0.446944,0.0286,
0.272668,0.028688,
0.192492,0.028748,
0.324996,0.02852,
0.157288,0.0286,
0.185752,0.028492,
0.282628,0.0285,
0.185608,0.028728,
0.199768,0.02856,
0.249816,0.02926,
0.22812,0.028768,
0.258176,0.028536,
0.20872,0.02862,
0.482128,0.028908,
0.223272,0.028816,
0.433796,0.029156,
0.166596,0.028504,
0.374872,0.029112,
0.224896,0.028568,
0.392228,0.028804,
0.208092,0.029132,
0.195328,0.028552,
0.315976,0.028524,
0.263636,0.029024,
0.443692,0.028652,
0.248676,0.02852,
0.21374,0.02854,
0.207112,0.028988,
0.298852,0.029032,
0.209748,0.028656,
0.448948,0.02862,
0.503604,0.028804,
0.295912,0.028928,
0.21884,0.0287,
0.194368,0.02852,
0.291548,0.028732,
0.182848,0.028484,
0.267932,0.028548,
0.393288,0.029348,
0.315576,0.028488,
0.441692,0.0286,
0.17962,0.028732,
0.509692,0.02854,
0.22782,0.028824,
0.303716,0.02868,
0.19372,0.028492,
0.356884,0.029,
0.383124,0.028688,
0.253508,0.029416,
0.226716,0.028836,
0.384792,0.028816,
0.475212,0.028516,
0.550652,0.028652,
0.300464,0.029908,
0.177012,0.028544,
0.312216,0.028512,
0.298636,0.028504,
0.309416,0.029136,
0.41666,0.029164,
0.4181,0.028812,
0.434872,0.028756,
0.331512,0.029084,
0.213708,0.0292,
0.475288,0.0287,
0.25496,0.029868,
0.283604,0.02864,
0.379544,0.028912,
0.266692,0.029156,
0.150628,0.028592,
0.294,0.029332,
0.293872,0.028776,
0.38044,0.02918,
0.27012,0.029152,
0.312772,0.028724,
0.361232,0.0297,
0.279036,0.02866,
0.477196,0.029404,
0.171032,0.0292,
0.189024,0.028568,
0.460336,0.028568,
0.4387,0.028976,
0.445128,0.028584,
0.285088,0.028904,
0.27532,0.028784,
0.254656,0.028968,
0.263496,0.028816,
0.205808,0.028744,
0.416344,0.028904,
0.292128,0.028664,
0.272088,0.028608,
0.306456,0.028848,
0.241408,0.029656,
0.200456,0.028544,
0.286152,0.028664,
0.23428,0.028752,
0.721584,0.029096,
0.205968,0.02916,
0.225656,0.029032,
