Median_of_median_time,Quick_sort_time,
1.04144,0.158656,
0.900704,0.159328,
2.43014,0.15984,
1.37821,0.158688,
2.75968,0.161056,
2.06096,0.158752,
1.73078,0.166144,
1.56323,0.160512,
1.67907,0.16016,
1.05635,0.165856,
0.874848,0.158912,
1.30355,0.15872,
1.56416,0.158336,
1.22074,0.158976,
1.34054,0.158912,
1.88992,0.159104,
1.44806,0.15872,
1.1808,0.160128,
2.03098,0.158528,
0.886656,0.163072,
1.12032,0.166336,
1.50957,0.159872,
1.50835,0.1664,
1.5072,0.159488,
1.56422,0.15808,
1.26528,0.166528,
1.80096,0.158976,
1.16262,0.158464,
3.38099,0.160064,
1.71117,0.15904,
1.10854,0.159616,
0.967104,0.159488,
1.14842,0.158528,
2.20077,0.157696,
2.23238,0.159104,
1.69133,0.165952,
1.5193,0.160064,
1.33594,0.158784,
1.43469,0.165888,
1.32762,0.159616,
1.93216,0.16576,
1.56845,0.15872,
2.08019,0.15936,
1.08371,0.166912,
1.44083,0.158656,
0.867904,0.159744,
1.28486,0.159296,
1.57101,0.158848,
1.4809,0.15808,
0.796736,0.158784,
1.2352,0.15872,
1.09856,0.159808,
1.85235,0.159552,
0.918016,0.15936,
0.842368,0.158784,
0.856,0.158272,
2.1431,0.159104,
2.37434,0.160256,
1.68525,0.158592,
1.88512,0.159104,
1.01184,0.162432,
1.52653,0.15872,
1.6953,0.158976,
1.37274,0.158656,
1.22886,0.15936,
1.4087,0.160256,
2.24269,0.166528,
1.83136,0.166208,
1.30458,0.158976,
1.64934,0.159552,
2.0265,0.159104,
1.72083,0.15936,
2.58029,0.160128,
2.2167,0.158464,
1.81997,0.158784,
1.49011,0.158976,
1.13702,0.15904,
1.6512,0.15808,
1.66918,0.158848,
1.42694,0.158592,
1.6439,0.160512,
2.00806,0.158912,
1.39738,0.160128,
1.09542,0.159424,
1.78182,0.159296,
1.13094,0.158464,
1.34189,0.159424,
1.22573,0.163584,
1.48198,0.15968,
1.16371,0.159232,
1.79821,0.159232,
1.2633,0.158592,
1.18944,0.159616,
1.21005,0.159488,
1.56211,0.15872,
1.43898,0.160256,
1.32768,0.15968,
1.75008,0.159168,
1.88966,0.158528,
0.963904,0.158656,
1.30746,0.158336,
0.791808,0.1632,
2.30458,0.158656,
1.80992,0.159744,
2.32243,0.159936,
1.83789,0.158784,
1.80762,0.159104,
1.8057,0.159936,
1.17344,0.159424,
2.0649,0.15936,
0.72192,0.159808,
1.53901,0.159808,
1.07046,0.158912,
1.7968,0.158272,
2.94643,0.159104,
1.24326,0.15904,
1.84346,0.159616,
1.2777,0.159296,
1.65498,0.158976,
1.31571,0.159872,
1.44461,0.159168,
1.79443,0.158592,
1.696,0.158912,
1.11117,0.15872,
1.85498,0.159296,
2.35213,0.159232,
0.904,0.158464,
1.02688,0.16,
2.08506,0.158656,
1.4679,0.158528,
1.32672,0.160064,
1.87021,0.161024,
1.20416,0.166208,
1.49018,0.158272,
2.56589,0.158656,
1.41242,0.159808,
1.52947,0.158272,
1.6535,0.159552,
1.66963,0.158656,
1.40973,0.158208,
2.00883,0.160384,
0.95168,0.16064,
1.45779,0.15904,
1.86029,0.159808,
1.59501,0.165888,
2.3824,0.159936,
0.990976,0.158976,
0.929344,0.16256,
1.4279,0.159424,
2.46867,0.158848,
1.27834,0.158208,
1.75584,0.159104,
1.4784,0.159104,
1.75456,0.158336,
1.53843,0.165888,
1.47904,0.16,
1.32659,0.158976,
1.75232,0.158656,
1.90368,0.159872,
0.99648,0.166016,
1.74419,0.165504,
1.74355,0.15872,
1.87968,0.158208,
1.23277,0.159104,
2.1856,0.159808,
2.03078,0.166464,
1.64634,0.16032,
1.1575,0.159488,
2.68858,0.158976,
1.24109,0.159104,
1.36634,0.159296,
2.00896,0.158784,
0.970624,0.158976,
1.7159,0.158784,
1.02586,0.164736,
1.56928,0.166144,
1.96128,0.158848,
2.14893,0.158464,
2.9984,0.159232,
1.14221,0.159744,
2.09818,0.15936,
1.59603,0.165952,
2.16589,0.15904,
1.98752,0.159104,
2.10938,0.158784,
1.43046,0.159296,
1.3751,0.160512,
1.30163,0.15968,
1.26477,0.160192,
1.07846,0.158208,
2.26285,0.16096,
1.54138,0.163008,
2.33203,0.15904,
1.8969,0.15904,
1.0288,0.159424,
1.48173,0.159488,
1.97453,0.159744,
1.18464,0.161664,
1.3943,0.159616,
1.2809,0.159232,
1.14816,0.159744,
1.51104,0.16,
1.93498,0.15936,
2.78874,0.159808,
1.93555,0.166208,
1.60006,0.15936,
0.955776,0.159296,
1.4839,0.159616,
1.59917,0.158592,
0.995328,0.158912,
1.91821,0.158592,
0.86368,0.1584,
1.37146,0.1584,
1.50234,0.158912,
0.977728,0.162304,
2.35654,0.159488,
0.934272,0.159488,
2.38163,0.160832,
1.37427,0.159744,
1.87277,0.15904,
2.15418,0.15904,
1.13741,0.160064,
1.58355,0.159168,
1.12326,0.159744,
1.32954,0.166208,
1.47142,0.158272,
2.0745,0.159104,
2.07565,0.166016,
0.780736,0.1664,
1.19885,0.158656,
1.67091,0.158848,
2.82758,0.162496,
2.00531,0.158848,
1.3552,0.159296,
1.88813,0.159424,
2.60666,0.160704,
1.30438,0.165632,
1.46317,0.158656,
2.01146,0.15968,
2.1465,0.16064,
1.08077,0.159936,
3.23328,0.15904,
2.1881,0.160192,
1.32544,0.159296,
1.66925,0.15936,
1.97043,0.159232,
1.5216,0.166976,
1.34432,0.165824,
1.46803,0.159424,
2.70566,0.160192,
1.86611,0.158784,
1.17677,0.159616,
2.55264,0.159232,
1.49971,0.15968,
1.3401,0.158784,
1.86061,0.159552,
1.43232,0.1584,
1.40256,0.15968,
1.75347,0.160832,
1.00467,0.158912,
2.64109,0.160512,
2.17267,0.158464,
2.1641,0.159616,
1.6329,0.158528,
1.46637,0.158848,
1.93261,0.158848,
1.21018,0.159232,
0.985472,0.161792,
1.31482,0.15872,
1.75878,0.16,
1.41491,0.159552,
1.16224,0.159744,
1.96819,0.16,
1.26618,0.162304,
1.0128,0.159744,
1.69549,0.159424,
2.81158,0.159936,
2.08397,0.159744,
1.68749,0.159552,
2.12934,0.16032,
1.97088,0.159872,
1.46246,0.166784,
1.34522,0.159296,
1.29478,0.166784,
1.22342,0.157888,
1.84051,0.159872,
1.34778,0.164224,
1.33862,0.158912,
1.19757,0.159232,
1.80864,0.1584,
1.9456,0.159168,
1.95808,0.159424,
1.77338,0.158656,
1.54912,0.158528,
1.6912,0.15872,
1.68282,0.16,
0.866496,0.15872,
1.07949,0.158848,
2.12102,0.160128,
1.75635,0.166208,
1.05818,0.1584,
1.95187,0.159424,
1.86278,0.15968,
1.17715,0.159424,
1.42688,0.158784,
1.13158,0.159168,
2.07795,0.159808,
0.864448,0.16,
1.05267,0.159488,
2.24384,0.15968,
1.08243,0.15904,
1.40122,0.159232,
2.78592,0.158016,
1.2231,0.159552,
1.48781,0.15904,
1.05549,0.159744,
1.66669,0.159872,
1.2631,0.15936,
1.29805,0.158848,
1.80826,0.158848,
1.76154,0.158976,
0.992768,0.159104,
1.12666,0.158848,
1.7216,0.161024,
0.832128,0.160128,
0.94976,0.159872,
1.55085,0.15808,
2.09869,0.158976,
1.11117,0.158848,
1.38714,0.15872,
0.991744,0.15872,
2.07258,0.15872,
1.62624,0.158592,
1.45792,0.158976,
2.09395,0.159232,
1.42822,0.16,
1.6983,0.159104,
1.16557,0.15872,
0.764032,0.158464,
1.09581,0.160128,
1.16416,0.15936,
1.75194,0.158976,
1.36576,0.158976,
1.59936,0.158848,
1.45242,0.15872,
1.81734,0.159616,
1.51616,0.166016,
1.42707,0.160512,
1.55354,0.15936,
1.81478,0.159104,
1.52742,0.15872,
1.4921,0.16,
1.70266,0.15936,
1.12986,0.15936,
1.61318,0.158848,
1.13856,0.159616,
1.71494,0.16,
1.98938,0.159744,
1.62867,0.158336,
2.06835,0.159744,
1.57658,0.16384,
1.09709,0.160896,
1.3335,0.162048,
1.28691,0.158848,
1.95597,0.158848,
1.61242,0.159488,
1.25286,0.16,
1.79891,0.158592,
1.63072,0.158592,
2.30899,0.162176,
1.68346,0.159744,
0.836608,0.166784,
1.20998,0.159232,
2.00973,0.158592,
1.20832,0.158208,
2.60851,0.159232,
1.65248,0.159488,
2.06221,0.159232,
0.807808,0.15872,
2.11392,0.158208,
1.9264,0.167936,
1.57862,0.159104,
2.37427,0.15936,
1.63584,0.15872,
1.57747,0.158848,
1.72352,0.160896,
0.866432,0.158336,
1.60307,0.16,
1.66618,0.166144,
2.42483,0.158976,
1.40198,0.15936,
1.78035,0.166144,
1.33184,0.158464,
1.22214,0.159872,
1.35334,0.159616,
1.3207,0.158848,
1.25363,0.157696,
1.80109,0.158848,
2.03904,0.159104,
1.67347,0.166144,
1.88147,0.159616,
1.15008,0.164992,
1.05626,0.167424,
2.20621,0.159232,
1.08288,0.15872,
1.1945,0.162304,
1.53971,0.159104,
1.79955,0.158976,
1.02426,0.159744,
1.68294,0.15872,
1.40262,0.1664,
1.06522,0.158848,
1.31392,0.158464,
1.3344,0.162688,
1.45946,0.158976,
1.47469,0.159488,
1.64416,0.166528,
1.14035,0.158848,
0.986496,0.158848,
1.78189,0.166272,
0.83072,0.159104,
2.31078,0.158976,
1.65402,0.158848,
1.22675,0.15936,
0.941184,0.159872,
1.38765,0.166144,
1.67885,0.16,
2.05555,0.15936,
1.98515,0.158336,
0.931072,0.159616,
1.17133,0.160384,
1.98515,0.15808,
2.0608,0.157952,
1.67936,0.159232,
1.86496,0.158592,
1.26515,0.165248,
0.93312,0.15872,
1.57696,0.166016,
