Median_of_median_time,Quick_sort_time,
0.683919,0.061165,
0.666961,0.06181,
0.349003,0.061624,
0.811449,0.061606,
0.667144,0.061508,
0.612678,0.061151,
0.980371,0.061038,
0.803944,0.060651,
0.64857,0.061148,
1.03109,0.061721,
0.544926,0.061175,
0.510194,0.061713,
0.595983,0.060944,
0.984641,0.060561,
0.582781,0.060915,
0.797184,0.060889,
0.539078,0.061022,
0.457729,0.061262,
0.619828,0.061559,
0.839564,0.061798,
0.698446,0.060402,
0.477458,0.060557,
0.430567,0.060552,
0.55859,0.062114,
0.89018,0.060556,
0.954804,0.061584,
0.439192,0.060976,
0.69892,0.060638,
0.625736,0.060624,
1.24974,0.061386,
1.36476,0.060884,
0.59076,0.060994,
0.381366,0.061044,
0.80592,0.061356,
1.02884,0.062272,
0.851392,0.061476,
0.547612,0.061494,
0.647908,0.062026,
0.745756,0.060516,
0.688208,0.060756,
0.721288,0.061016,
1.0961,0.061272,
0.682824,0.060288,
0.6967,0.061932,
0.623556,0.06122,
0.564348,0.060976,
0.401708,0.061548,
0.849996,0.060696,
0.65666,0.061592,
0.94624,0.06096,
0.917664,0.061136,
0.715352,0.061608,
0.887184,0.061196,
0.993076,0.06188,
0.616724,0.061068,
0.706532,0.063204,
0.566384,0.061828,
0.530116,0.060784,
0.526204,0.060592,
0.734196,0.060732,
0.797764,0.060408,
0.500364,0.061608,
0.792096,0.06108,
0.800712,0.060912,
0.873592,0.06062,
1.09106,0.060696,
0.816488,0.061048,
0.764056,0.060592,
0.350304,0.061712,
0.687884,0.06106,
0.599576,0.061152,
0.765244,0.060936,
0.42158,0.061188,
0.709156,0.061012,
0.654052,0.061248,
0.492576,0.06182,
1.03757,0.06124,
0.44374,0.061036,
0.821416,0.061336,
0.588616,0.06156,
0.87388,0.06094,
0.605164,0.060928,
0.588956,0.060952,
0.367996,0.062352,
0.754104,0.061596,
0.815336,0.060792,
0.587892,0.060944,
0.384512,0.061168,
0.42868,0.060736,
0.708656,0.061024,
0.65176,0.060616,
0.698512,0.061224,
0.93504,0.060936,
0.87112,0.061688,
0.577888,0.061088,
0.443672,0.061408,
0.745992,0.061048,
0.931848,0.061448,
0.963304,0.061264,
0.674736,0.064504,
1.06553,0.06112,
0.953864,0.060904,
0.654496,0.06072,
0.384168,0.061888,
0.450272,0.06208,
0.944728,0.062504,
0.804504,0.061752,
1.1253,0.061632,
0.817928,0.061496,
0.375992,0.060552,
0.71364,0.0614,
0.486224,0.060696,
0.57312,0.061696,
0.599672,0.061112,
0.902856,0.061112,
0.544752,0.060816,
0.848816,0.061992,
0.4546,0.060864,
0.693728,0.060968,
0.544584,0.06092,
0.805632,0.061032,
0.4806,0.061464,
0.635888,0.06188,
0.9098,0.061768,
0.959672,0.060968,
0.819216,0.060912,
0.84892,0.060872,
0.692208,0.061584,
0.685184,0.061208,
0.858528,0.063808,
0.475624,0.063648,
0.620464,0.060968,
0.930968,0.061688,
0.576616,0.061344,
0.993984,0.063672,
0.52636,0.061456,
0.390792,0.060888,
0.520776,0.061704,
0.61356,0.060816,
0.575016,0.060872,
0.811408,0.061352,
0.721904,0.061056,
1.22945,0.060824,
0.938704,0.061112,
0.578384,0.060872,
0.482368,0.061152,
0.511704,0.060896,
0.604048,0.060776,
0.784808,0.06092,
1.01724,0.061232,
1.01092,0.061208,
1.40708,0.06152,
1.02126,0.060632,
0.612584,0.061288,
0.795384,0.06072,
0.569032,0.061776,
0.415192,0.06188,
0.526904,0.061328,
0.812536,0.060744,
0.46568,0.061288,
0.892384,0.061448,
0.713248,0.060672,
0.951776,0.060624,
0.598424,0.061136,
0.537192,0.061368,
0.570608,0.061328,
0.725504,0.060624,
0.45856,0.0606,
0.75792,0.060912,
0.613728,0.060568,
0.620992,0.060816,
0.672816,0.061272,
0.620704,0.061744,
0.616184,0.060712,
0.456496,0.06112,
0.84904,0.060784,
0.6136,0.060768,
0.54888,0.061328,
1.25526,0.060992,
0.573888,0.060864,
0.982496,0.061152,
0.529584,0.061936,
0.660848,0.061776,
0.71088,0.060912,
0.832432,0.062304,
0.879488,0.06136,
0.436528,0.062208,
0.540928,0.06064,
0.795536,0.061008,
0.582944,0.061792,
0.895728,0.061616,
0.610704,0.060768,
0.407344,0.06224,
0.6332,0.061984,
0.9596,0.060784,
0.54256,0.061136,
0.43632,0.061776,
0.69696,0.061088,
0.747264,0.061584,
0.89816,0.061984,
0.817856,0.060848,
0.805312,0.064224,
0.515232,0.06136,
0.617488,0.060704,
0.475056,0.061728,
0.800896,0.061328,
0.70448,0.061056,
0.590144,0.061712,
1.29146,0.06136,
0.622128,0.061472,
0.376896,0.061008,
0.900336,0.06216,
0.717936,0.061616,
0.681504,0.061504,
0.433872,0.061008,
0.596592,0.06136,
0.805232,0.060784,
0.648544,0.060816,
0.66792,0.061456,
0.710368,0.063712,
0.569616,0.061104,
0.759264,0.06136,
0.721856,0.060512,
0.697056,0.061568,
0.638384,0.061376,
0.443152,0.060544,
0.930528,0.061488,
0.619888,0.061456,
0.36968,0.06136,
0.597456,0.061344,
0.855072,0.060864,
0.633424,0.060864,
1.2389,0.061568,
0.649888,0.0612,
0.700496,0.061024,
0.792384,0.061744,
0.481664,0.060704,
0.406416,0.060864,
0.404704,0.0604,
0.996784,0.061808,
0.786304,0.0616,
0.525536,0.062112,
0.45608,0.061312,
0.606144,0.06088,
0.568128,0.061424,
0.727936,0.06176,
0.598048,0.06168,
0.332448,0.061312,
0.531968,0.062128,
0.537344,0.060784,
0.886672,0.0616,
1.05651,0.060768,
0.5376,0.061552,
0.509376,0.06048,
1.06587,0.061744,
0.663216,0.060704,
0.5976,0.06104,
0.793312,0.061168,
0.911616,0.061072,
0.5012,0.060992,
0.555344,0.061232,
0.629088,0.060608,
1.05443,0.061536,
0.593424,0.061728,
0.522496,0.061024,
0.55208,0.060832,
0.6592,0.061376,
0.713024,0.060848,
0.783648,0.061104,
0.61064,0.060576,
0.804816,0.060768,
0.420976,0.061056,
0.688336,0.061056,
0.64616,0.06168,
0.4924,0.061808,
0.498704,0.061392,
0.882656,0.062016,
0.712992,0.060832,
0.727488,0.061664,
0.782736,0.061248,
0.516672,0.06144,
0.818944,0.061056,
0.505616,0.0608,
0.73912,0.062192,
0.7264,0.061584,
0.515312,0.0616,
0.522864,0.060848,
0.411248,0.061616,
0.509808,0.061376,
0.517696,0.061248,
0.807808,0.061056,
0.612096,0.061568,
0.466576,0.061056,
0.922768,0.060432,
0.639728,0.060736,
0.337536,0.061536,
0.69584,0.06112,
0.680496,0.061488,
0.652704,0.060592,
1.11498,0.062016,
0.794704,0.060992,
0.57816,0.061632,
0.665616,0.061616,
0.892448,0.061664,
0.621728,0.06168,
0.54896,0.061072,
0.47568,0.061136,
0.772288,0.061408,
0.550304,0.061536,
0.81448,0.061776,
0.807184,0.06048,
0.632672,0.06072,
0.70224,0.061008,
0.474848,0.061424,
1.04565,0.060912,
0.397392,0.062096,
0.593248,0.061424,
0.636112,0.060544,
0.698416,0.060848,
0.529152,0.061152,
0.716208,0.060848,
1.06898,0.06096,
0.310256,0.061216,
0.758048,0.061008,
0.8016,0.061024,
0.427936,0.061248,
0.6588,0.061312,
0.856736,0.061168,
0.636128,0.060784,
0.623504,0.060912,
0.715504,0.061648,
0.634336,0.061168,
0.805408,0.060736,
0.647456,0.0608,
0.847376,0.060768,
0.900128,0.060464,
0.452224,0.060384,
0.495536,0.06096,
0.5368,0.060784,
0.80592,0.06112,
0.577824,0.062048,
0.474992,0.060896,
0.876048,0.060864,
0.620992,0.06144,
0.651936,0.061616,
0.613536,0.061024,
0.663216,0.061584,
0.947248,0.060576,
0.600768,0.060976,
0.408368,0.060784,
1.25458,0.06152,
0.610272,0.061232,
0.647808,0.06112,
1.10531,0.061056,
0.627408,0.061008,
0.892864,0.061232,
1.01443,0.060896,
0.472128,0.06128,
0.890752,0.060672,
1.26966,0.060576,
1.1087,0.061792,
0.728096,0.061632,
0.76656,0.06224,
0.36704,0.0608,
0.321312,0.061728,
0.623264,0.060384,
1.14218,0.060928,
0.454688,0.061632,
0.530272,0.060768,
0.4168,0.061056,
0.906656,0.06176,
0.797952,0.061632,
1.08813,0.060896,
0.465728,0.06128,
0.700064,0.062336,
0.460032,0.060896,
0.506752,0.061472,
0.759744,0.062016,
0.427808,0.061344,
0.532192,0.062272,
0.398304,0.060736,
0.68992,0.06208,
0.63536,0.060928,
0.61888,0.061088,
0.425696,0.061568,
0.462976,0.061632,
0.80672,0.063168,
0.846912,0.061856,
0.7704,0.06128,
0.777536,0.061696,
1.16438,0.061344,
1.03235,0.0616,
1.02506,0.061696,
0.44688,0.061792,
0.49536,0.061472,
1.00947,0.060416,
0.504,0.061664,
0.791808,0.061696,
0.648224,0.060928,
0.553536,0.061408,
0.493824,0.060896,
0.772096,0.061952,
