Median_of_median_time,Quick_sort_time,
1.02583,0.091324,
0.827092,0.090724,
1.30423,0.090758,
0.97775,0.091944,
0.87326,0.090212,
0.846755,0.090513,
1.28456,0.090683,
0.725472,0.090605,
1.29578,0.090547,
1.11127,0.090939,
0.920617,0.090401,
0.918675,0.090389,
1.03955,0.090515,
0.798273,0.090647,
0.917279,0.09044,
1.22606,0.090684,
1.29778,0.09064,
0.683396,0.090864,
0.822136,0.0904,
1.24748,0.090768,
1.24473,0.091424,
1.65647,0.095024,
0.735324,0.090512,
0.797652,0.090742,
1.24239,0.090268,
1.02547,0.09018,
0.92608,0.090318,
0.727154,0.090368,
0.60983,0.091072,
1.19505,0.091372,
0.769956,0.094912,
0.692824,0.090348,
0.883476,0.090316,
1.02995,0.090692,
0.979524,0.090492,
0.655616,0.090324,
1.49508,0.091832,
1.08394,0.090272,
0.82478,0.090364,
1.0319,0.09078,
0.69056,0.090372,
1.69044,0.09068,
0.973492,0.090668,
1.13428,0.090252,
0.716196,0.090556,
1.49623,0.090596,
0.711888,0.090864,
1.41992,0.090448,
0.809472,0.090296,
1.05818,0.094676,
1.30664,0.090684,
1.24994,0.090472,
1.33149,0.090904,
0.572936,0.090412,
1.41648,0.09072,
1.0413,0.09048,
0.932112,0.09086,
1.26514,0.094552,
0.596132,0.090492,
0.91808,0.090152,
0.906384,0.090232,
0.907064,0.09032,
1.1704,0.091344,
0.736088,0.09184,
1.17182,0.090368,
0.656184,0.090416,
1.33044,0.090608,
0.97936,0.090496,
1.21517,0.090472,
1.50766,0.090272,
1.18814,0.091304,
1.10118,0.090904,
0.891712,0.090624,
0.644464,0.09036,
1.60561,0.090192,
0.78216,0.091016,
1.07019,0.090608,
1.28326,0.090608,
0.648744,0.09056,
0.719408,0.090648,
0.614424,0.090568,
0.977936,0.090472,
1.0071,0.0912,
0.89256,0.090392,
0.865968,0.090568,
0.960592,0.0908,
1.48497,0.090952,
0.912144,0.0904,
0.988672,0.090784,
0.893544,0.090512,
1.10617,0.090584,
0.599024,0.090648,
1.22331,0.090656,
1.18122,0.090592,
1.04366,0.090848,
0.721936,0.09032,
1.18348,0.091224,
0.736792,0.092432,
0.663752,0.090456,
0.633648,0.090192,
0.736912,0.090488,
0.912216,0.090776,
1.28426,0.090216,
0.947264,0.091328,
0.837376,0.090536,
1.05257,0.090984,
1.43219,0.0908,
1.16074,0.090472,
0.637352,0.090304,
1.1287,0.090784,
0.828336,0.090872,
0.778784,0.090496,
0.768096,0.091328,
0.78364,0.091776,
0.57772,0.090488,
0.808264,0.090888,
0.871272,0.090712,
1.10442,0.090496,
0.973232,0.090656,
1.07778,0.090776,
1.41341,0.09116,
1.12812,0.090448,
1.1365,0.090752,
1.0471,0.09056,
0.914208,0.090224,
0.911328,0.091792,
0.92416,0.09064,
0.994704,0.09032,
1.24586,0.09136,
0.822608,0.090672,
0.853408,0.090432,
2.21443,0.090624,
1.36138,0.09064,
0.800176,0.090368,
1.21414,0.090608,
0.857936,0.090608,
1.67966,0.09056,
0.70224,0.091008,
0.996208,0.090272,
0.863264,0.090176,
1.31936,0.090576,
0.618336,0.090592,
0.875696,0.090832,
1.21754,0.09128,
1.58482,0.090592,
0.788576,0.090544,
0.636544,0.0908,
0.80488,0.090784,
1.43805,0.090608,
1.07986,0.091216,
0.851216,0.090768,
1.05206,0.090608,
1.2893,0.09088,
1.05947,0.09192,
1.86394,0.091232,
1.14771,0.09072,
0.883216,0.090336,
0.738784,0.091648,
0.759232,0.09496,
1.54531,0.0904,
0.903104,0.090688,
1.04698,0.090464,
0.808464,0.090448,
0.804928,0.090832,
1.06371,0.090336,
0.71432,0.0908,
1.06173,0.092896,
1.31469,0.090336,
0.987872,0.090192,
0.80664,0.090704,
0.84856,0.09072,
1.42066,0.090736,
0.536336,0.090864,
0.82168,0.090704,
1.20037,0.0904,
1.14245,0.09032,
0.479168,0.090688,
0.969264,0.090624,
1.26291,0.091184,
0.99576,0.090784,
0.635888,0.09056,
1.04261,0.091056,
0.64336,0.090896,
0.72512,0.0904,
0.879456,0.090928,
1.02603,0.09032,
1.1697,0.0908,
1.36714,0.090576,
1.11938,0.090448,
0.586144,0.090672,
0.7184,0.090368,
0.719664,0.090352,
1.13522,0.090096,
0.728944,0.090352,
0.873312,0.090624,
0.587744,0.090992,
1.10378,0.090464,
0.876304,0.090896,
0.499312,0.09088,
1.1473,0.090272,
1.17469,0.090352,
0.959968,0.09088,
0.654992,0.09064,
0.69792,0.090432,
1.8353,0.091184,
1.34421,0.09056,
0.937968,0.09072,
0.671904,0.090784,
1.08434,0.090704,
0.947712,0.090688,
0.741104,0.090592,
0.762336,0.090688,
0.630752,0.09072,
1.04051,0.09368,
1.06746,0.09064,
1.32998,0.09072,
0.826496,0.090464,
1.29806,0.09048,
0.968768,0.090592,
0.766048,0.090288,
0.8028,0.090144,
0.708688,0.090448,
1.02584,0.090416,
0.748144,0.09032,
1.5675,0.090336,
0.879248,0.09064,
0.483104,0.090224,
0.864272,0.094976,
0.901984,0.090368,
1.3032,0.090704,
1.2001,0.090464,
1.03426,0.090528,
0.757168,0.090304,
1.36248,0.090512,
0.6136,0.090816,
0.579584,0.0904,
0.870736,0.090656,
1.54301,0.090464,
0.988816,0.091248,
1.19586,0.090832,
0.78608,0.091696,
1.45232,0.090416,
1.38832,0.090688,
1.19578,0.090528,
1.16557,0.090416,
1.29832,0.091936,
1.19539,0.090304,
1.17558,0.090752,
1.48189,0.091264,
0.799392,0.09056,
0.742208,0.090816,
1.14992,0.090464,
1.43907,0.090304,
0.847072,0.090464,
1.38182,0.090688,
1.08246,0.090496,
1.0544,0.09088,
1.13462,0.090368,
1.04979,0.090784,
0.786656,0.090464,
0.721664,0.090528,
0.856416,0.090848,
0.721376,0.091744,
1.10765,0.091424,
0.778432,0.0904,
0.481696,0.090624,
0.884096,0.090368,
1.14851,0.095008,
0.79216,0.090688,
0.87184,0.09056,
1.24202,0.090688,
0.596256,0.090432,
0.874336,0.090208,
1.23283,0.090432,
1.06422,0.09168,
0.602144,0.090208,
0.962848,0.090368,
1.1649,0.09072,
1.00227,0.090656,
1.20541,0.090816,
1.1631,0.09072,
0.94928,0.0904,
0.990656,0.091264,
0.920736,0.091264,
0.644576,0.090272,
0.938176,0.090336,
0.665632,0.090208,
0.862912,0.090752,
0.80672,0.090752,
1.47866,0.090624,
1.2673,0.0904,
0.929792,0.090816,
0.813888,0.090208,
1.10877,0.090688,
0.649312,0.094816,
0.79936,0.090848,
0.826176,0.091872,
0.939264,0.090624,
0.984416,0.090336,
0.73568,0.090272,
0.909728,0.090944,
0.827712,0.090592,
1.11274,0.09056,
1.0304,0.09072,
1.61754,0.090528,
1.29562,0.090432,
0.972448,0.090624,
1.29885,0.09072,
1.63901,0.09088,
1.10349,0.091168,
0.844512,0.090624,
1.66592,0.090752,
0.769632,0.09072,
1.2904,0.090528,
0.961984,0.095232,
1.13376,0.090496,
0.819424,0.090656,
1.45469,0.090912,
0.890496,0.09024,
1.1713,0.090464,
1.04918,0.094848,
0.76624,0.090528,
0.760832,0.09024,
1.01424,0.09024,
1.16822,0.090496,
1.15498,0.090432,
0.713856,0.090208,
1.15523,0.09056,
0.972736,0.090368,
0.985056,0.09088,
1.06752,0.090304,
1.54925,0.090368,
1.8696,0.090464,
0.933088,0.090944,
1.17235,0.090624,
1.18022,0.09056,
0.77744,0.09024,
0.872352,0.090528,
1.04342,0.094752,
1.07219,0.090528,
0.7904,0.090432,
1.08061,0.090464,
0.784544,0.090304,
0.98768,0.090624,
1.18624,0.090528,
1.16288,0.090432,
0.835424,0.090496,
1.29469,0.090624,
0.902496,0.090656,
1.13181,0.09072,
0.481824,0.09056,
1.21632,0.090432,
1.14275,0.09056,
1.29235,0.090336,
0.8728,0.090144,
0.729952,0.090336,
0.59104,0.090496,
0.54528,0.092608,
1.05088,0.090432,
1.11002,0.090368,
0.702144,0.090208,
1.01536,0.09056,
1.14301,0.09072,
0.650272,0.090368,
1.18189,0.090432,
1.35955,0.090368,
0.976736,0.090624,
0.662464,0.090336,
1.36723,0.092672,
1.18861,0.09072,
1.30758,0.090624,
0.659168,0.090912,
0.553472,0.090752,
1.73898,0.090656,
0.957504,0.090112,
0.787168,0.094592,
0.587488,0.090592,
1.13466,0.092256,
1.24912,0.091232,
0.918304,0.090976,
1.6576,0.09072,
0.924256,0.09072,
0.803136,0.090656,
1.06902,0.09056,
0.713408,0.090368,
1.5095,0.090432,
1.21142,0.0904,
1.0441,0.0904,
1.15542,0.0904,
0.668704,0.090944,
0.730688,0.090656,
1.27786,0.09056,
0.641632,0.09072,
0.505696,0.09232,
1.09443,0.092192,
1.17686,0.091584,
1.60221,0.090464,
0.610784,0.090464,
1.11984,0.090304,
0.64512,0.092576,
1.13501,0.090624,
1.13059,0.09104,
0.609504,0.090784,
0.681984,0.090688,
0.980224,0.092896,
1.48605,0.091936,
0.707872,0.090656,
0.821632,0.090304,
0.696512,0.09136,
1.028,0.091552,
1.54851,0.092096,
0.688416,0.09056,
0.71776,0.092192,
1.19965,0.090848,
1.28966,0.092448,
0.931488,0.092832,
1.66349,0.092032,
0.89584,0.091296,
1.25523,0.092224,
0.522176,0.093696,
1.48032,0.09216,
0.998144,0.092384,
1.00637,0.091872,
0.820832,0.092544,
0.870816,0.093056,
0.995712,0.09136,
1.11421,0.093952,
0.950016,0.09232,
1.29072,0.092,
0.838816,0.091488,
1.67706,0.094368,
1.24109,0.091232,
1.36816,0.091712,
0.89136,0.09136,
1.16381,0.09504,
0.924864,0.090944,
1.35699,0.091488,
0.924864,0.090592,
0.49056,0.09136,
1.37014,0.091296,
0.81328,0.09104,
0.914112,0.091488,
1.29398,0.091712,
0.650432,0.0912,
1.50051,0.091488,
1.18253,0.091456,
0.90912,0.091008,
1.49302,0.090816,
1.40131,0.09088,
0.933664,0.090688,
0.579936,0.091104,
0.925856,0.090752,
1.23309,0.090752,
1.26806,0.090848,
0.914208,0.09088,
1.10774,0.090912,
1.10781,0.095008,
0.810368,0.091168,
0.838208,0.094816,
